hero_id,hero.data.name,hero.data.roadsort,hero.data.smallmap,hero.data.sortid,relation.assist.target_hero_id,relation.strong.target_hero_id,relation.weak.target_hero_id,_createdAt,_id,_updatedAt,data,sourceId,extraction_date
130,Obsidia,"[{'_id': '668541a2aa8e7f6ec4703d86', 'caption': '金币路', 'configId': 144237, 'createdAt': 1720009122589, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/91f817c656908a83c2e24eecb3b70986.svg', 'road_sort_id': '5', 'road_sort_title': 'Gold Lane'}, 'dynamic': None, 'id': 2732079, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022953428, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_18/100_92bcc9ad2c4c8165a888d34f086a4d28.png,"[{'_id': '6698c04f613093b976b4a978', 'caption': '5射手', 'configId': 144237, 'createdAt': 1721286735503, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/025c69a764924f4bac526a2662f1a0b9.png', 'sort_id': '5', 'sort_title': 'Marksman'}, 'dynamic': None, 'id': 2740665, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023126452, 'updatedUser': 'nickjin'}, '']","[55, 34]","[21, 22, 47]","[12, 18]",1758200708021,68cc038566ceee72419f7815,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 130, 'match_type': '1', 'win_rate': [{'app_rate': 0.016041, 'ban_rate': 0.381054, 'date': '2025-10-09', 'win_rate': 0.525592}, {'app_rate': 0.016092, 'ban_rate': 0.382216, 'date': '2025-10-08', 'win_rate': 0.524462}, {'app_rate': 0.016093, 'ban_rate': 0.382422, 'date': '2025-10-07', 'win_rate': 0.523019}, {'app_rate': 0.016077, 'ban_rate': 0.383467, 'date': '2025-10-06', 'win_rate': 0.521691}, {'app_rate': 0.016062, 'ban_rate': 0.385374, 'date': '2025-10-05', 'win_rate': 0.520858}, {'app_rate': 0.015945, 'ban_rate': 0.387436, 'date': '2025-10-04', 'win_rate': 0.519655}, {'app_rate': 0.015887, 'ban_rate': 0.389571, 'date': '2025-10-03', 'win_rate': 0.518788}]}",2674709,2025-10-11
129,Zetian,"[{'_id': '66854225aa8e7f6ec4703d93', 'caption': '中路', 'configId': 144237, 'createdAt': 1720009253985, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/facab1eacb218d767b5acb80304bfafd.svg', 'road_sort_id': '2', 'road_sort_title': 'Mid Lane'}, 'dynamic': None, 'id': 2732084, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022943932, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_90/100_22dc8b16ea98a735027c3141b74ef841.png,"[{'_id': '6698c015613093b976b4a974', 'caption': '4法师', 'configId': 144237, 'createdAt': 1721286677393, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1c6985dd0caec2028ccb6d1b8ca95e0f.png', 'sort_id': '4', 'sort_title': 'mage'}, 'dynamic': None, 'id': 2740663, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023128824, 'updatedUser': 'nickjin'}, '']","[112, 14]","[2, 16]",[110],1750337099746,6854064cec18fd09131d72db,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 129, 'match_type': '1', 'win_rate': [{'app_rate': 0.010416, 'ban_rate': 0.033733, 'date': '2025-10-09', 'win_rate': 0.484907}, {'app_rate': 0.010399, 'ban_rate': 0.032879, 'date': '2025-10-08', 'win_rate': 0.483388}, {'app_rate': 0.010353, 'ban_rate': 0.032011, 'date': '2025-10-07', 'win_rate': 0.482598}, {'app_rate': 0.010302, 'ban_rate': 0.031437, 'date': '2025-10-06', 'win_rate': 0.482094}, {'app_rate': 0.010246, 'ban_rate': 0.031067, 'date': '2025-10-05', 'win_rate': 0.481921}, {'app_rate': 0.01015, 'ban_rate': 0.030761, 'date': '2025-10-04', 'win_rate': 0.481216}, {'app_rate': 0.010082, 'ban_rate': 0.030412, 'date': '2025-10-03', 'win_rate': 0.480838}]}",2674709,2025-10-11
128,Kalea,"[{'_id': '66854202aa8e7f6ec4703d8f', 'caption': '辅助', 'configId': 144237, 'createdAt': 1720009218480, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/a3dbb075b4d8186c29f02f7d47da236a.svg', 'road_sort_id': '3', 'road_sort_title': 'Roam'}, 'dynamic': None, 'id': 2732083, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022949109, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_64/100_9c5f2904026ba88b7aba8c9b2722f4ad.png,"[{'_id': '6698c06a613093b976b4a97c', 'caption': '6辅助', 'configId': 144237, 'createdAt': 1721286762785, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1e4609b25a4cd63ee5a13015d4058159.png', 'sort_id': '6', 'sort_title': 'support'}, 'dynamic': None, 'id': 2740666, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023113317, 'updatedUser': 'nickjin'}, {'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}]","[15, 42, 13]","[18, 61]","[48, 19]",1742473500049,67dc091ebc060718d7756149,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 128, 'match_type': '1', 'win_rate': [{'app_rate': 0.006488, 'ban_rate': 0.079172, 'date': '2025-10-09', 'win_rate': 0.486514}, {'app_rate': 0.006536, 'ban_rate': 0.078892, 'date': '2025-10-08', 'win_rate': 0.486607}, {'app_rate': 0.006605, 'ban_rate': 0.078868, 'date': '2025-10-07', 'win_rate': 0.486453}, {'app_rate': 0.006638, 'ban_rate': 0.078722, 'date': '2025-10-06', 'win_rate': 0.486153}, {'app_rate': 0.006631, 'ban_rate': 0.078668, 'date': '2025-10-05', 'win_rate': 0.48581}, {'app_rate': 0.006627, 'ban_rate': 0.078939, 'date': '2025-10-04', 'win_rate': 0.486096}, {'app_rate': 0.006553, 'ban_rate': 0.078629, 'date': '2025-10-03', 'win_rate': 0.486598}]}",2674709,2025-10-11
127,Lukas,"[{'_id': '6685424caa8e7f6ec4703d97', 'caption': '经验路', 'configId': 144237, 'createdAt': 1720009292257, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/6a246099f7eb83a8856306d8b4c84fc2.svg', 'road_sort_id': '1', 'road_sort_title': 'Exp Lane'}, 'dynamic': None, 'id': 2732085, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022932111, 'updatedUser': 'nickjin'}, {'_id': '668541caaa8e7f6ec4703d8a', 'caption': '打野', 'configId': 144237, 'createdAt': 1720009162509, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/de611167c7310681135f0b4198137bfa.svg', 'road_sort_id': '4', 'road_sort_title': 'Jungle'}, 'dynamic': None, 'id': 2732080, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022951463, 'updatedUser': 'nickjin'}]",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_20/100_454c13b2de7b7d1a20fbf553c620510d.png,"[{'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}, '']","[93, 6, 41]","[60, 121]","[17, 57, 116]",1734870913455,67680781dcc347d19052d927,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 127, 'match_type': '1', 'win_rate': [{'app_rate': 0.002992, 'ban_rate': 0.003718, 'date': '2025-10-09', 'win_rate': 0.475424}, {'app_rate': 0.003011, 'ban_rate': 0.003688, 'date': '2025-10-08', 'win_rate': 0.47883}, {'app_rate': 0.003014, 'ban_rate': 0.003612, 'date': '2025-10-07', 'win_rate': 0.479722}, {'app_rate': 0.00301, 'ban_rate': 0.00359, 'date': '2025-10-06', 'win_rate': 0.480803}, {'app_rate': 0.003005, 'ban_rate': 0.003584, 'date': '2025-10-05', 'win_rate': 0.481596}, {'app_rate': 0.003004, 'ban_rate': 0.003529, 'date': '2025-10-04', 'win_rate': 0.482929}, {'app_rate': 0.003005, 'ban_rate': 0.003482, 'date': '2025-10-03', 'win_rate': 0.482792}]}",2674709,2025-10-11
126,Suyou,"[{'_id': '668541caaa8e7f6ec4703d8a', 'caption': '打野', 'configId': 144237, 'createdAt': 1720009162509, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/de611167c7310681135f0b4198137bfa.svg', 'road_sort_id': '4', 'road_sort_title': 'Jungle'}, 'dynamic': None, 'id': 2732080, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022951463, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_20/100_422ffc7849e8bb01629d2423054ed410.png,"[{'_id': '6698bffd613093b976b4a970', 'caption': '3刺客', 'configId': 144237, 'createdAt': 1721286653803, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/d0b8b65a47fc43dc7bb2bac447072fd2.png', 'sort_id': '3', 'sort_title': 'assassin'}, 'dynamic': None, 'id': 2740661, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023131050, 'updatedUser': 'nickjin'}, {'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}]","[14, 6]","[121, 115]","[114, 77]",1727026497115,66f05541b78c330538506b6d,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 126, 'match_type': '1', 'win_rate': [{'app_rate': 0.002976, 'ban_rate': 0.001182, 'date': '2025-10-09', 'win_rate': 0.476297}, {'app_rate': 0.002994, 'ban_rate': 0.001149, 'date': '2025-10-08', 'win_rate': 0.475752}, {'app_rate': 0.003017, 'ban_rate': 0.001153, 'date': '2025-10-07', 'win_rate': 0.477624}, {'app_rate': 0.003015, 'ban_rate': 0.001137, 'date': '2025-10-06', 'win_rate': 0.478001}, {'app_rate': 0.003004, 'ban_rate': 0.001114, 'date': '2025-10-05', 'win_rate': 0.478372}, {'app_rate': 0.003009, 'ban_rate': 0.001104, 'date': '2025-10-04', 'win_rate': 0.479008}, {'app_rate': 0.003022, 'ban_rate': 0.001096, 'date': '2025-10-03', 'win_rate': 0.479825}]}",2674709,2025-10-11
125,Zhuxin,"[{'_id': '66854225aa8e7f6ec4703d93', 'caption': '中路', 'configId': 144237, 'createdAt': 1720009253985, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/facab1eacb218d767b5acb80304bfafd.svg', 'road_sort_id': '2', 'road_sort_title': 'Mid Lane'}, 'dynamic': None, 'id': 2732084, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022943932, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_13cfeec4bec7a27a09677e519f1ef9d2.png,"[{'_id': '6698c015613093b976b4a974', 'caption': '4法师', 'configId': 144237, 'createdAt': 1721286677393, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1c6985dd0caec2028ccb6d1b8ca95e0f.png', 'sort_id': '4', 'sort_title': 'mage'}, 'dynamic': None, 'id': 2740663, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023128824, 'updatedUser': 'nickjin'}, '']","[123, 71, 70]","[33, 94]","[3, 17]",1719756297141,6681660aa09589cedef93408,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 125, 'match_type': '1', 'win_rate': [{'app_rate': 0.006957, 'ban_rate': 0.044717, 'date': '2025-10-09', 'win_rate': 0.515512}, {'app_rate': 0.006735, 'ban_rate': 0.045135, 'date': '2025-10-08', 'win_rate': 0.516616}, {'app_rate': 0.006794, 'ban_rate': 0.046436, 'date': '2025-10-07', 'win_rate': 0.517027}, {'app_rate': 0.006886, 'ban_rate': 0.047743, 'date': '2025-10-06', 'win_rate': 0.517961}, {'app_rate': 0.006968, 'ban_rate': 0.048835, 'date': '2025-10-05', 'win_rate': 0.518354}, {'app_rate': 0.007126, 'ban_rate': 0.050451, 'date': '2025-10-04', 'win_rate': 0.519127}, {'app_rate': 0.007208, 'ban_rate': 0.051905, 'date': '2025-10-03', 'win_rate': 0.520024}]}",2674709,2025-10-11
124,Chip,"[{'_id': '66854202aa8e7f6ec4703d8f', 'caption': '辅助', 'configId': 144237, 'createdAt': 1720009218480, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/a3dbb075b4d8186c29f02f7d47da236a.svg', 'road_sort_id': '3', 'road_sort_title': 'Roam'}, 'dynamic': None, 'id': 2732083, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022949109, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85e15c66733cab7d8d73f7f725f31f1e.png,"[{'_id': '6698c06a613093b976b4a97c', 'caption': '6辅助', 'configId': 144237, 'createdAt': 1721286762785, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1e4609b25a4cd63ee5a13015d4058159.png', 'sort_id': '6', 'sort_title': 'support'}, 'dynamic': None, 'id': 2740666, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023113317, 'updatedUser': 'nickjin'}, {'_id': '6698bfbc613093b976b4a949', 'caption': '1坦克', 'configId': 144237, 'createdAt': 1721286588147, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/60638c59536d9505c9c731af13f7fdfd.png', 'sort_id': '1', 'sort_title': 'tank'}, 'dynamic': None, 'id': 2740657, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023135175, 'updatedUser': 'nickjin'}]","[28, 60, 75]","[38, 18, 121]","[99, 6]",1713515848286,66222d49554108f06353198c,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 124, 'match_type': '1', 'win_rate': [{'app_rate': 0.001751, 'ban_rate': 0.073974, 'date': '2025-10-09', 'win_rate': 0.487257}, {'app_rate': 0.001797, 'ban_rate': 0.075992, 'date': '2025-10-08', 'win_rate': 0.491338}, {'app_rate': 0.001831, 'ban_rate': 0.078033, 'date': '2025-10-07', 'win_rate': 0.491885}, {'app_rate': 0.001866, 'ban_rate': 0.08021, 'date': '2025-10-06', 'win_rate': 0.491893}, {'app_rate': 0.001897, 'ban_rate': 0.082485, 'date': '2025-10-05', 'win_rate': 0.493326}, {'app_rate': 0.00195, 'ban_rate': 0.085601, 'date': '2025-10-04', 'win_rate': 0.495152}, {'app_rate': 0.001981, 'ban_rate': 0.088477, 'date': '2025-10-03', 'win_rate': 0.497417}]}",2674709,2025-10-11
123,Cici,"[{'_id': '6685424caa8e7f6ec4703d97', 'caption': '经验路', 'configId': 144237, 'createdAt': 1720009292257, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/6a246099f7eb83a8856306d8b4c84fc2.svg', 'road_sort_id': '1', 'road_sort_title': 'Exp Lane'}, 'dynamic': None, 'id': 2732085, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022932111, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4f970eb4b44b8c9fff2c511d8e856ff4.png,"[{'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}, '']","[55, 112, 0]","[117, 19, 0]","[3, 62]",1713515848286,66222d48554108f0635303f5,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 123, 'match_type': '1', 'win_rate': [{'app_rate': 0.022344, 'ban_rate': 0.324398, 'date': '2025-10-09', 'win_rate': 0.552689}, {'app_rate': 0.022428, 'ban_rate': 0.322519, 'date': '2025-10-08', 'win_rate': 0.55282}, {'app_rate': 0.022592, 'ban_rate': 0.322131, 'date': '2025-10-07', 'win_rate': 0.553448}, {'app_rate': 0.02266, 'ban_rate': 0.320384, 'date': '2025-10-06', 'win_rate': 0.553694}, {'app_rate': 0.022624, 'ban_rate': 0.317804, 'date': '2025-10-05', 'win_rate': 0.55359}, {'app_rate': 0.022557, 'ban_rate': 0.315323, 'date': '2025-10-04', 'win_rate': 0.553691}, {'app_rate': 0.022447, 'ban_rate': 0.312546, 'date': '2025-10-03', 'win_rate': 0.5536}]}",2674709,2025-10-11
122,Nolan,"[{'_id': '668541caaa8e7f6ec4703d8a', 'caption': '打野', 'configId': 144237, 'createdAt': 1720009162509, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/de611167c7310681135f0b4198137bfa.svg', 'road_sort_id': '4', 'road_sort_title': 'Jungle'}, 'dynamic': None, 'id': 2732080, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022951463, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0495066df0d828c149e7fe89aa63078b.png,"[{'_id': '6698bffd613093b976b4a970', 'caption': '3刺客', 'configId': 144237, 'createdAt': 1721286653803, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/d0b8b65a47fc43dc7bb2bac447072fd2.png', 'sort_id': '3', 'sort_title': 'assassin'}, 'dynamic': None, 'id': 2740661, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023131050, 'updatedUser': 'nickjin'}, '']","[6, 41, 0]","[60, 15, 0]","[72, 117]",1713515848286,66222d48554108f063530399,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 122, 'match_type': '1', 'win_rate': [{'app_rate': 0.002506, 'ban_rate': 0.001181, 'date': '2025-10-09', 'win_rate': 0.494129}, {'app_rate': 0.002504, 'ban_rate': 0.001142, 'date': '2025-10-08', 'win_rate': 0.493215}, {'app_rate': 0.002478, 'ban_rate': 0.001129, 'date': '2025-10-07', 'win_rate': 0.493472}, {'app_rate': 0.002461, 'ban_rate': 0.001117, 'date': '2025-10-06', 'win_rate': 0.494202}, {'app_rate': 0.002447, 'ban_rate': 0.001103, 'date': '2025-10-05', 'win_rate': 0.494974}, {'app_rate': 0.002451, 'ban_rate': 0.001098, 'date': '2025-10-04', 'win_rate': 0.495354}, {'app_rate': 0.002451, 'ban_rate': 0.00108, 'date': '2025-10-03', 'win_rate': 0.495795}]}",2674709,2025-10-11
121,Ixia,"[{'_id': '668541a2aa8e7f6ec4703d86', 'caption': '金币路', 'configId': 144237, 'createdAt': 1720009122589, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/91f817c656908a83c2e24eecb3b70986.svg', 'road_sort_id': '5', 'road_sort_title': 'Gold Lane'}, 'dynamic': None, 'id': 2732079, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022953428, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c5f758bd1141327d36f2c77928268ab7.png,"[{'_id': '6698c04f613093b976b4a978', 'caption': '5射手', 'configId': 144237, 'createdAt': 1721286735503, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/025c69a764924f4bac526a2662f1a0b9.png', 'sort_id': '5', 'sort_title': 'Marksman'}, 'dynamic': None, 'id': 2740665, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023126452, 'updatedUser': 'nickjin'}, '']","[117, 11, 0]","[117, 11, 0]","[3, 109]",1713515848286,66222d49554108f06353190d,1760114104601,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 121, 'match_type': '1', 'win_rate': [{'app_rate': 0.010415, 'ban_rate': 0.018352, 'date': '2025-10-09', 'win_rate': 0.528564}, {'app_rate': 0.010422, 'ban_rate': 0.01884, 'date': '2025-10-08', 'win_rate': 0.531627}, {'app_rate': 0.010365, 'ban_rate': 0.01937, 'date': '2025-10-07', 'win_rate': 0.533062}, {'app_rate': 0.010337, 'ban_rate': 0.019924, 'date': '2025-10-06', 'win_rate': 0.533042}, {'app_rate': 0.010327, 'ban_rate': 0.020509, 'date': '2025-10-05', 'win_rate': 0.533931}, {'app_rate': 0.010351, 'ban_rate': 0.021388, 'date': '2025-10-04', 'win_rate': 0.535041}, {'app_rate': 0.010379, 'ban_rate': 0.022214, 'date': '2025-10-03', 'win_rate': 0.535575}]}",2674709,2025-10-11
